"","k_total_mean","k_total_disp","k_cancer_mean","k_cancer_disp","k_normal_mean","k_normal_disp"
"?|100133144",12.8194444444444,0.538437188372891,15.6805555555556,0.697034802317257,9.95833333333333,0.425110894119004
"?|100134869",13.3611111111111,0.299694015797871,10.1388888888889,0.498686626211349,16.5833333333333,0.227718482077017
"?|10357",211.333333333333,0.0736438817151737,196.472222222222,0.129374347663601,226.194444444444,0.0941553357905512
"?|10431",2175.94444444444,0.0737336909847521,1911.5,0.123192283327128,2440.38888888889,0.0419087899002753
"?|155060",207.194444444444,0.307963616504111,213.902777777778,0.455538311407054,200.486111111111,0.202727300184613
"?|390284",16.7083333333333,0.169533265050037,15.3472222222222,0.214963703676248,18.0694444444444,0.219546549813798
"?|553137",1222.75694444444,0.392569336967955,1270.05555555556,0.484195099128276,1175.45833333333,0.28388666424483
"?|57714",2756.40277777778,0.292069559492829,3158.08333333333,0.37692003077939,2354.72222222222,0.190779934266617
"?|645851",18.5486111111111,0.7285276575439,13.5138888888889,0.612624542774237,23.5833333333333,0.86979218180518
"?|652919",72.5555555555556,2.85099216045924,55.4027777777778,3.24663318154178,89.7083333333333,2.2209705007114
"?|653553",937.215277777778,0.371065536913359,1190.41666666667,0.576268202261235,684.013888888889,0.149102568938227
"?|8225",1445.59027777778,0.139198819040404,1342.44444444444,0.202780087298506,1548.73611111111,0.0880050083428122
"?|90288",109.819444444444,0.329540164972079,127.388888888889,0.591665347674019,92.25,0.112737988291712
"A1BG|1",89.4166666666667,0.339361019024647,101.055555555556,0.548495240781287,77.7777777777778,0.178846665846896
"A1CF|29974",514.076388888889,1.65782347323232,571.944444444444,1.05150047838663,456.208333333333,2.1217695262116
"A2BP1|54715",18.6041666666667,1.05691717810455,2.15277777777778,3.02183200763085,35.0555555555556,0.475203389601822
"A2LD1|87769",1407.375,0.954236632335552,654.388888888889,0.955841811650611,2160.36111111111,0.914855072259833
"A2M|2",95044.6180555556,0.184205328847609,108034.791666667,0.192713075250773,82054.4444444444,0.179405039431633
"A4GALT|53947",2691.13888888889,0.223717269925873,3175.30555555556,0.26308716165276,2206.97222222222,0.17741749195961
"A4GNT|51146",22.8888888888889,0.751787840664294,29.8472222222222,0.841023244756588,15.9305555555556,0.70036077748668
"AAAS|8086",1637.73611111111,0.0521149435649688,1705.43055555556,0.0910125467561786,1570.04166666667,0.0343276897865966
"AACSL|729522",52.4027777777778,0.603960796284112,80.1666666666667,0.952809023061066,24.6388888888889,0.249125243379435
"AACS|65985",2023.75694444444,0.151130493768928,1490.95833333333,0.211260919149125,2556.55555555556,0.0999790032286197
"AADAT|51166",301.618055555556,0.211731560115675,240.194444444444,0.348757258055208,363.041666666667,0.128045027703661
"AAGAB|79719",2592.6875,0.0703743796109916,1812.125,0.122325860963609,3373.25,0.0384227255756878
"AAK1|22848",4267.11805555556,0.0991265520114857,3394.90277777778,0.146520647990009,5139.33333333333,0.0637503906143243
"AAMP|14",6459.09722222222,0.0734291527889564,6297.40277777778,0.116241805293661,6620.79166666667,0.0474822275552138
"AARS2|57505",1276.14583333333,0.077281867647784,1373.41666666667,0.115814720866371,1178.875,0.0593607825093656
"AARSD1|80755",1407.48611111111,0.0702579398854237,1549.125,0.119089632458792,1265.84722222222,0.0423267402222234
"AARS|16",9262.68055555555,0.0719953870371123,8852.27777777778,0.116510348576254,9673.08333333333,0.0417613880630693
"AASDHPPT|60496",3250.47222222222,0.0720496232932051,3257.83333333333,0.106001000265974,3243.11111111111,0.0545660620934602
"AASDH|132949",823.006944444444,0.0854343856635538,654.819444444444,0.146013690812191,991.194444444444,0.0629362669109974
"AASS|10157",1466.10416666667,0.292642964332411,871.111111111111,0.327215374328459,2061.09722222222,0.264424800488014
"AATF|26574",3079.875,0.0505620733481999,3598.29166666667,0.0822543603848896,2561.45833333333,0.035795801419576
"AATK|9625",167.875,0.322626282469621,229.513888888889,0.412531161022276,106.236111111111,0.279931444126605
"ABAT|18",6538.74305555556,0.888918180577014,1782.86111111111,0.695677801096163,11294.625,1.02333421949101
"ABCA10|10349",38.5625,0.642324182510746,29.1527777777778,0.555954342150855,47.9722222222222,0.757065683872654
"ABCA11P|79963",246.590277777778,0.171007891750975,156.055555555556,0.245078419621723,337.125,0.164548309632442
"ABCA12|26154",334.798611111111,1.45032275379976,597.388888888889,1.15023892162765,72.2083333333333,1.63688074018279
"ABCA13|154664",135.194444444444,1.92030708792151,12.7638888888889,2.65828212685448,257.625,1.32594525271657
"ABCA17P|650655",66.7152777777778,1.0797703521489,113.236111111111,1.45696528968164,20.1944444444444,0.642771742766546
"ABCA1|19",5026.77777777778,0.230723228411897,7578.80555555556,0.270753055311293,2474.75,0.182854290787425
"ABCA2|20",4281.53472222222,0.185000774980908,3889.83333333333,0.219201611304108,4673.23611111111,0.154059901128967
"ABCA3|21",3572.59722222222,0.196305926908979,4266.05555555556,0.244549399825688,2879.13888888889,0.145878297102985
"ABCA4|24",1515.25,1.82467213342023,43.2361111111111,1.76913714806797,2987.26388888889,1.81684987828457
"ABCA5|23461",1511.11805555556,0.145429174530125,1323.33333333333,0.216350897367674,1698.90277777778,0.0885284333706724
"ABCA6|23460",335.770833333333,1.40590989975119,295.958333333333,2.18161295658786,375.583333333333,0.439312341108871
"ABCA7|10347",512.180555555556,0.263997034325122,441.527777777778,0.413570220682102,582.833333333333,0.13090685628127
"ABCA8|10351",934.930555555556,1.2444143040156,298.888888888889,1.57172257055988,1570.97222222222,0.836405516775107
